flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B,flight_number
168,1265,30,1276,15,1,0,0,40,CAL187
169,1347,30,1358,15,1,0,0,40,EVA256
170,65,95,73,16,0,1,0,80,JJP011/012
171,265,30,274,16,0,1,0,80,EVA055
172,420,60,433,16,1,0,0,40,EVA281
173,510,60,524,16,1,0,0,40,EVA227
174,592,73,604,16,1,0,0,40,CPA564/564
175,762,118,770,16,0,1,0,80,EVA133/385
176,902,98,915,16,1,0,0,40,EVA802/805
177,1045,30,1058,16,0,1,0,80,EVA212
178,1185,60,1184,16,1,0,0,40,EVA205
179,1310,30,1331,16,0,1,0,80,EVA068
180,1378,30,1386,16,1,0,0,40,SJX805
181,65,85,75,17,1,0,0,40,JJP051/050
182,283,227,297,17,1,0,0,40,SJX001/800
183,540,60,550,17,0,1,0,80,EVA707
184,750,70,761,17,0,1,0,80,HKE110/111
185,846,119,851,17,1,0,0,40,EVA234/716
186,993,182,1007,17,0,1,0,80,EVA384/381
187,1188,30,1199,17,0,1,0,80,EVA202
188,1262,30,1281,17,0,1,0,80,EVA872
189,1360,60,-38,18,1,0,0,40,SJX002
190,248,30,255,18,1,0,0,40,SJX031
191,325,30,340,18,1,0,0,40,EVA051
192,420,60,426,18,0,1,0,80,SJX771
193,535,60,535,18,0,1,0,80,EVA712
194,604,91,610,18,0,1,0,80,CPA530/530
195,716,84,734,18,1,0,0,40,CPA494/495
196,841,159,851,18,1,0,0,40,EVA105/871
197,1007,83,1019,18,0,1,0,80,EVA266/857
198,1083,107,1105,18,0,1,0,80,CPA531/531
199,1209,30,1217,18,0,1,0,80,EVA129
200,1285,30,1293,18,0,1,0,80,EVA159
201,-55,60,-25,19,0,1,0,80,SJX012
202,330,60,330,19,1,0,0,40,EVA178
203,413,127,421,19,1,0,0,40,EVA031/397
204,580,60,579,19,0,1,0,80,SJX802
205,700,60,703,19,0,1,0,80,EVA869
206,767,113,780,19,1,0,0,40,SJX847/713
207,935,30,948,19,1,0,0,40,EVA711
208,925,60,961,19,0,1,0,80,UIA187
209,1023,30,1045,19,1,0,0,40,EVA392
210,1079,91,1100,19,1,0,0,40,CPA451/451
211,1260,175,1275,19,1,0,0,40,EVA238/071
212,291,204,299,20,0,1,0,80,EVA017/067
213,525,60,528,20,0,1,0,80,EVA383
214,737,93,743,20,1,0,0,40,AAR711/712
215,910,270,926,20,0,1,0,80,EVA272/012
216,1176,234,1192,20,1,0,0,40,EVA216/087
217,217,30,227,21,1,0,0,40,EVA023
218,283,30,298,21,0,1,0,80,EVA009
219,343,197,356,21,0,1,0,80,EVA096/237
220,793,87,806,21,0,1,0,80,CCA195/196
221,885,105,899,21,0,1,0,80,EVA282/722
222,967,263,1003,21,0,1,0,80,EVA005/261
223,1378,30,1393,21,1,0,0,40,EVA195
224,1320,60,1329,21,1,0,0,40,EVA024
225,267,293,276,22,1,0,0,40,EVA011/271
226,711,104,718,22,1,0,0,40,EVA892/130
227,855,60,855,22,0,1,0,80,EVA160
228,949,201,952,22,1,0,0,40,EVA398/032
229,1158,30,1159,22,0,1,0,80,EVA115
230,1231,30,1241,22,0,1,0,80,EVA101
231,1360,60,1358,22,0,1,0,80,EVA028
232,400,60,416,23,1,0,0,40,EVA225
233,500,60,505,23,0,1,0,80,EVA391
234,979,30,997,23,1,0,0,40,EVA131
235,1100,60,1110,23,1,0,0,40,EVA036
236,1206,229,1224,23,0,1,0,80,EVA228/016
237,269,181,278,24,1,0,0,40,EVA027/395
238,485,130,487,24,1,0,0,40,EVA262/008
239,810,60,809,24,0,1,0,80,EVA765
240,957,30,967,24,1,0,0,40,EVA062
241,1062,118,1069,24,0,1,0,80,EVA226/018
242,1220,60,1235,24,0,1,0,80,EVA052
243,1350,60,1350,24,0,1,0,80,EVA010
244,1425,30,1429,24,1,0,0,40,EVA715
245,295,30,306,25,1,0,0,40,EVA015
246,375,30,388,25,0,1,0,80,EVA035
247,480,60,483,25,1,0,0,40,EVA233
248,827,88,838,25,0,1,0,80,EVA169/277
249,941,89,959,25,0,1,0,80,AAR713/714
250,1067,138,1077,25,0,1,0,80,SJX742/010
251,1214,30,1223,25,1,0,0,40,EVA185
252,1360,60,1374,25,1,0,0,40,EVA026
253,360,60,367,26,0,1,0,80,EVA891
254,465,60,477,26,1,0,0,40,EVA265
255,550,60,553,26,1,0,0,40,EVA006
256,663,77,673,26,0,1,0,80,CRK252/253
257,779,141,782,26,0,1,0,80,EVA177/196
258,925,65,932,26,0,1,0,80,ABL791/792
259,971,30,999,26,0,1,0,80,EVA007
260,1143,30,1149,26,1,0,0,40,EVA856
261,1209,30,1228,26,0,1,0,80,EVA396
262,1271,30,1283,26,0,0,1,1000,EVA278
263,1365,60,1367,26,1,0,0,40,EVA095
264,275,30,285,27,1,0,0,40,EVA025
265,440,60,449,27,0,1,0,80,EVA211
266,540,60,541,27,0,1,0,80,EVA801
267,635,215,636,27,0,1,0,80,EVA113/855
268,866,79,877,27,0,1,0,80,CRK254/255
269,953,30,958,27,1,0,0,40,EVA183
270,1046,154,1051,27,1,0,0,40,EVA870/056
271,1290,60,1283,27,1,0,0,40,EVA061
272,1362,30,1370,27,0,1,0,80,SJX714
273,345,60,347,28,0,1,0,80,EVA112
274,435,60,439,28,0,1,0,80,EVA851
275,545,60,541,28,1,0,0,40,EVA867
