flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B
247,480,60,483,25,1,0,0,40
248,827,88,838,25,0,1,0,80
249,941,89,959,25,0,1,0,80
250,1067,138,1077,25,0,1,0,80
251,1214,30,1223,25,1,0,0,40
252,1360,60,1374,25,1,0,0,40
253,360,60,367,26,0,1,0,80
254,465,60,477,26,1,0,0,40
255,550,60,553,26,1,0,0,40
256,663,77,673,26,0,1,0,80
257,779,141,782,26,0,1,0,80
258,925,65,932,26,0,1,0,80
259,971,30,999,26,0,1,0,80
260,1143,30,1149,26,1,0,0,40
261,1209,30,1228,26,0,1,0,80
262,1271,30,1283,26,0,0,1,1000
263,1365,60,1367,26,1,0,0,40
264,275,30,285,27,1,0,0,40
265,440,60,449,27,0,1,0,80
266,540,60,541,27,0,1,0,80
267,635,215,636,27,0,1,0,80
268,866,79,877,27,0,1,0,80
269,953,30,958,27,1,0,0,40
270,1046,154,1051,27,1,0,0,40
271,1290,60,1283,27,1,0,0,40
272,1362,30,1370,27,0,1,0,80
273,345,60,347,28,0,1,0,80
274,435,60,439,28,0,1,0,80
275,545,60,541,28,1,0,0,40
276,708,97,712,28,1,0,0,40
277,796,149,802,28,0,1,0,80
278,951,189,965,28,0,1,0,80
279,1145,70,1149,28,0,1,0,80
280,1235,70,1242,28,0,1,0,80
281,1331,30,1333,28,0,1,0,80
282,1396,30,1399,28,1,0,0,40
283,55,80,60,29,1,0,0,40
284,193,267,197,29,1,0,0,40
285,480,60,478,29,0,1,0,80
286,700,60,691,29,1,0,0,40
287,780,70,783,29,1,0,0,40
288,840,90,853,29,1,0,0,40
289,944,76,950,29,1,0,0,40
290,1074,30,1093,29,0,1,0,80
291,1226,59,1231,29,1,0,0,40
292,1292,30,1300,29,1,0,0,40
293,1380,30,1389,29,0,1,0,80
294,318,167,325,30,1,0,0,40
295,530,60,529,30,1,0,0,40
296,668,82,675,30,1,0,0,40
297,770,60,768,30,0,1,0,80
298,846,99,853,30,1,0,0,40
299,987,68,990,30,0,1,0,80
300,1103,307,1116,30,1,0,0,40
301,355,60,346,31,1,0,0,40
302,445,30,450,31,1,0,0,40
303,460,60,461,31,1,0,0,40
304,595,80,606,31,0,1,0,80
305,545,60,541,31,0,1,0,80
306,722,158,728,31,0,1,0,80
307,895,105,898,31,1,0,0,40
308,1002,68,1006,31,1,0,0,40
309,1105,30,1111,31,0,1,0,80
310,1195,165,1179,31,1,0,0,40
311,350,60,351,32,1,0,0,40
312,435,60,429,32,1,0,0,40
313,540,60,545,32,1,0,0,40
314,650,100,657,32,0,1,0,80
315,768,102,775,32,0,1,0,80
316,910,30,918,32,0,1,0,80
317,991,74,1001,32,1,0,0,40
318,1155,30,1162,32,1,0,0,40
319,1230,30,1238,32,1,0,0,40
320,1375,60,1374,32,1,0,0,40
321,213,60,222,33,1,0,0,40
322,390,60,383,33,0,1,0,80
323,475,60,480,33,0,1,0,80
324,618,52,624,33,1,0,0,40
325,715,145,721,33,0,1,0,80
326,918,117,925,33,0,1,0,80
327,1077,223,1096,33,0,1,0,80
328,1287,143,1303,33,0,1,0,80
329,70,65,76,34,1,0,0,40
330,211,30,209,34,1,0,0,40
331,314,30,324,34,1,0,0,40
332,420,60,436,34,0,1,0,80
333,515,60,512,34,1,0,0,40
334,610,75,612,34,1,0,0,40
335,692,88,697,34,1,0,0,40
336,810,30,793,34,1,0,0,40
337,820,60,833,34,0,1,0,80
338,919,30,921,34,0,1,0,80
339,1000,30,1015,34,1,0,0,40
340,1140,30,1145,34,1,0,0,40
341,1267,30,1274,34,1,0,0,40
342,1370,60,1379,34,1,0,0,40
343,257,30,261,35,1,0,0,40
344,360,60,360,35,1,0,0,40
345,460,60,458,35,1,0,0,40
346,550,60,553,35,0,1,0,80
347,631,79,642,35,0,1,0,80
348,795,60,794,35,1,0,0,40
349,884,141,887,35,1,0,0,40
350,1030,90,1033,35,0,1,0,80
351,1209,30,1212,35,1,0,0,40
352,1350,60,-54,35,0,1,0,80
353,335,30,291,36,0,1,0,80
